budget,sell_mode,date,source_type,code,name,entry_price,one_lot_cost,action,lots,capital_used,exit_or_observe_date,status,return_pct,pnl,pnl_type,skip_reason,note
30000,固定5日卖,2026-06-29,proxy_fill,688525.SH,佰维存储,507.0,50700.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,缺真实14:50保存报告；用历史日线代理回测补齐
30000,固定5日卖,2026-06-30,actual_saved_1450,688002.SH,睿创微纳,154.67,15467.0,买入,1,15467.0,2026-07-01,open_unmatured,-3.80%,-587.1070999999993,floating,,真实保存14:50窗口建议
30000,MA5卖出,2026-06-01,proxy_fill,688396.SH,华润微,65.549,6554.9,买入,4,26219.6,2026-06-08,closed,-4.74%,-1242.0854800000002,realized,,缺真实14:50保存报告；用历史日线代理回测补齐
30000,MA5卖出,2026-06-02,proxy_fill,688525.SH,佰维存储,303.186,30318.6,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,缺真实14:50保存报告；用历史日线代理回测补齐
30000,MA5卖出,2026-06-03,proxy_fill,688525.SH,佰维存储,313.786,31378.6,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,缺真实14:50保存报告；用历史日线代理回测补齐
30000,MA5卖出,2026-06-04,proxy_fill,688347.SH,华虹宏力,244.0,24400.0,买入,1,24400.0,2026-06-11,closed,-9.41%,-2296.7200000000016,realized,,缺真实14:50保存报告；用历史日线代理回测补齐
30000,MA5卖出,2026-06-05,proxy_fill,688102.SH,斯瑞新材,37.59,3759.0,买入,7,26313.0,2026-06-16,closed,5.62%,1477.7930999999958,realized,,缺真实14:50保存报告；用历史日线代理回测补齐
30000,MA5卖出,2026-06-08,proxy_fill,688017.SH,绿的谐波,428.25,42825.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,缺真实14:50保存报告；用历史日线代理回测补齐
30000,MA5卖出,2026-06-09,proxy_fill,688525.SH,佰维存储,304.936,30493.6,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,缺真实14:50保存报告；用历史日线代理回测补齐
30000,MA5卖出,2026-06-10,proxy_fill,688072.SH,拓荆科技,618.0,61800.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,缺真实14:50保存报告；用历史日线代理回测补齐
30000,MA5卖出,2026-06-11,actual_saved_1450,688308.SH,欧科亿,142.0,14200.0,买入,2,28400.0,2026-06-23,closed,26.83%,7619.079999999998,realized,,真实保存14:50窗口建议
30000,MA5卖出,2026-06-12,actual_saved_1450,000657.SZ,中钨高新,80.23,8023.0,买入,3,24069.0,2026-06-26,closed,23.90%,5752.7103000000025,realized,,真实保存14:50窗口建议
30000,MA5卖出,2026-06-15,actual_saved_1450,688146.SH,中船特气,317.1,31710.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,真实保存14:50窗口建议
30000,MA5卖出,2026-06-16,actual_saved_1450,600487.SH,亨通光电,107.36,10736.0,买入,2,21472.0,2026-06-26,closed,2.83%,607.6863999999997,realized,,真实保存14:50窗口建议
30000,MA5卖出,2026-06-17,actual_saved_1450,688146.SH,XD中船特,335.28,33528.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,真实保存14:50窗口建议
30000,MA5卖出,2026-06-18,actual_saved_1450,688146.SH,中船特气,357.06,35706.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,真实保存14:50窗口建议
30000,MA5卖出,2026-06-22,actual_saved_1450,688146.SH,中船特气,390.1,39010.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,真实保存14:50窗口建议
30000,MA5卖出,2026-06-23,actual_saved_1450,603929.SH,亚翔集成,210.57,21057.0,买入,1,21057.0,2026-07-01,closed,22.30%,4696.6259,realized,,真实保存14:50窗口建议
30000,MA5卖出,2026-06-24,actual_saved_1450,301319.SZ,唯特偶,200.2,20020.0,买入,1,20020.0,2026-07-01,closed,-14.03%,-2808.026,realized,,真实保存14:50窗口建议
30000,MA5卖出,2026-06-25,actual_saved_1450,300308.SZ,中际旭创,1332.75,133275.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,真实保存14:50窗口建议
30000,MA5卖出,2026-06-26,actual_saved_1450,603986.SH,兆易创新,770.0,77000.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,真实保存14:50窗口建议
30000,MA5卖出,2026-06-29,proxy_fill,688525.SH,佰维存储,507.0,50700.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,缺真实14:50保存报告；用历史日线代理回测补齐
30000,MA5卖出,2026-06-30,actual_saved_1450,688002.SH,睿创微纳,154.67,15467.0,买入,1,15467.0,2026-07-01,open_unmatured,-3.80%,-587.1070999999993,floating,,真实保存14:50窗口建议
40000,固定5日卖,2026-06-01,proxy_fill,688396.SH,华润微,65.549,6554.9,买入,6,39329.4,2026-06-08,closed,-4.74%,-1863.1282200000005,realized,,缺真实14:50保存报告；用历史日线代理回测补齐
40000,固定5日卖,2026-06-02,proxy_fill,688525.SH,佰维存储,303.186,30318.6,买入,1,30318.6,2026-06-09,closed,0.45%,135.58582000000186,realized,,缺真实14:50保存报告；用历史日线代理回测补齐
40000,固定5日卖,2026-06-03,proxy_fill,688525.SH,佰维存储,313.786,31378.6,买入,1,31378.6,2026-06-10,closed,0.83%,259.2078199999999,realized,,缺真实14:50保存报告；用历史日线代理回测补齐
40000,固定5日卖,2026-06-04,proxy_fill,688347.SH,华虹宏力,244.0,24400.0,买入,1,24400.0,2026-06-11,closed,-9.41%,-2296.7200000000016,realized,,缺真实14:50保存报告；用历史日线代理回测补齐
40000,固定5日卖,2026-06-05,proxy_fill,688102.SH,斯瑞新材,37.59,3759.0,买入,10,37590.0,2026-06-12,closed,10.51%,3951.1329999999994,realized,,缺真实14:50保存报告；用历史日线代理回测补齐
40000,固定5日卖,2026-06-08,proxy_fill,688017.SH,绿的谐波,428.25,42825.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,缺真实14:50保存报告；用历史日线代理回测补齐
40000,固定5日卖,2026-06-09,proxy_fill,688525.SH,佰维存储,304.936,30493.6,买入,1,30493.6,2026-06-16,closed,11.53%,3514.7583200000063,realized,,缺真实14:50保存报告；用历史日线代理回测补齐
40000,固定5日卖,2026-06-10,proxy_fill,688072.SH,拓荆科技,618.0,61800.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,缺真实14:50保存报告；用历史日线代理回测补齐
40000,固定5日卖,2026-06-11,actual_saved_1450,688308.SH,欧科亿,142.0,14200.0,买入,2,28400.0,2026-06-18,closed,32.66%,9275.079999999998,realized,,真实保存14:50窗口建议
40000,固定5日卖,2026-06-12,actual_saved_1450,000657.SZ,中钨高新,80.23,8023.0,买入,4,32092.0,2026-06-22,closed,34.89%,11198.280399999994,realized,,真实保存14:50窗口建议
40000,固定5日卖,2026-06-15,actual_saved_1450,688146.SH,中船特气,317.1,31710.0,买入,1,31710.0,2026-06-22,closed,22.86%,7247.777,realized,,真实保存14:50窗口建议
40000,固定5日卖,2026-06-16,actual_saved_1450,600487.SH,亨通光电,107.36,10736.0,买入,3,32208.0,2026-06-23,closed,8.88%,2861.5295999999976,realized,,真实保存14:50窗口建议
40000,固定5日卖,2026-06-17,actual_saved_1450,688146.SH,XD中船特,335.28,33528.0,买入,1,33528.0,2026-06-26,closed,14.88%,4988.413600000007,realized,,真实保存14:50窗口建议
40000,固定5日卖,2026-06-18,actual_saved_1450,688146.SH,中船特气,357.06,35706.0,买入,1,35706.0,2026-06-26,closed,7.86%,2807.582200000004,realized,,真实保存14:50窗口建议
40000,固定5日卖,2026-06-22,actual_saved_1450,688146.SH,中船特气,390.1,39010.0,买入,1,39010.0,2026-06-29,closed,-5.28%,-2060.713000000001,realized,,真实保存14:50窗口建议
40000,固定5日卖,2026-06-23,actual_saved_1450,603929.SH,亚翔集成,210.57,21057.0,买入,1,21057.0,2026-06-30,closed,29.05%,6117.625899999999,realized,,真实保存14:50窗口建议
40000,固定5日卖,2026-06-24,actual_saved_1450,301319.SZ,唯特偶,200.2,20020.0,买入,1,20020.0,2026-07-01,closed,-14.03%,-2808.026,realized,,真实保存14:50窗口建议
40000,固定5日卖,2026-06-25,actual_saved_1450,300308.SZ,中际旭创,1332.75,133275.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,真实保存14:50窗口建议
40000,固定5日卖,2026-06-26,actual_saved_1450,603986.SH,兆易创新,770.0,77000.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,真实保存14:50窗口建议
40000,固定5日卖,2026-06-29,proxy_fill,688525.SH,佰维存储,507.0,50700.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,缺真实14:50保存报告；用历史日线代理回测补齐
40000,固定5日卖,2026-06-30,actual_saved_1450,688002.SH,睿创微纳,154.67,15467.0,买入,2,30934.0,2026-07-01,open_unmatured,-3.80%,-1174.2141999999985,floating,,真实保存14:50窗口建议
40000,MA5卖出,2026-06-01,proxy_fill,688396.SH,华润微,65.549,6554.9,买入,6,39329.4,2026-06-08,closed,-4.74%,-1863.1282200000005,realized,,缺真实14:50保存报告；用历史日线代理回测补齐
40000,MA5卖出,2026-06-02,proxy_fill,688525.SH,佰维存储,303.186,30318.6,买入,1,30318.6,2026-06-09,closed,0.45%,135.58582000000186,realized,,缺真实14:50保存报告；用历史日线代理回测补齐
40000,MA5卖出,2026-06-03,proxy_fill,688525.SH,佰维存储,313.786,31378.6,买入,1,31378.6,2026-06-25,closed,52.94%,16610.60782,realized,,缺真实14:50保存报告；用历史日线代理回测补齐
40000,MA5卖出,2026-06-04,proxy_fill,688347.SH,华虹宏力,244.0,24400.0,买入,1,24400.0,2026-06-11,closed,-9.41%,-2296.7200000000016,realized,,缺真实14:50保存报告；用历史日线代理回测补齐
40000,MA5卖出,2026-06-05,proxy_fill,688102.SH,斯瑞新材,37.59,3759.0,买入,10,37590.0,2026-06-16,closed,5.62%,2111.132999999994,realized,,缺真实14:50保存报告；用历史日线代理回测补齐
40000,MA5卖出,2026-06-08,proxy_fill,688017.SH,绿的谐波,428.25,42825.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,缺真实14:50保存报告；用历史日线代理回测补齐
40000,MA5卖出,2026-06-09,proxy_fill,688525.SH,佰维存储,304.936,30493.6,买入,1,30493.6,2026-07-01,closed,51.73%,15773.758320000004,realized,,缺真实14:50保存报告；用历史日线代理回测补齐
40000,MA5卖出,2026-06-10,proxy_fill,688072.SH,拓荆科技,618.0,61800.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,缺真实14:50保存报告；用历史日线代理回测补齐
40000,MA5卖出,2026-06-11,actual_saved_1450,688308.SH,欧科亿,142.0,14200.0,买入,2,28400.0,2026-06-23,closed,26.83%,7619.079999999998,realized,,真实保存14:50窗口建议
40000,MA5卖出,2026-06-12,actual_saved_1450,000657.SZ,中钨高新,80.23,8023.0,买入,4,32092.0,2026-06-26,closed,23.90%,7670.280400000002,realized,,真实保存14:50窗口建议
40000,MA5卖出,2026-06-15,actual_saved_1450,688146.SH,中船特气,317.1,31710.0,买入,1,31710.0,2026-06-30,closed,10.24%,3247.776999999999,realized,,真实保存14:50窗口建议
40000,MA5卖出,2026-06-16,actual_saved_1450,600487.SH,亨通光电,107.36,10736.0,买入,3,32208.0,2026-06-26,closed,2.83%,911.5295999999995,realized,,真实保存14:50窗口建议
40000,MA5卖出,2026-06-17,actual_saved_1450,688146.SH,XD中船特,335.28,33528.0,买入,1,33528.0,2026-06-30,closed,4.26%,1427.4136000000065,realized,,真实保存14:50窗口建议
40000,MA5卖出,2026-06-18,actual_saved_1450,688146.SH,中船特气,357.06,35706.0,买入,1,35706.0,2026-07-01,open_ma5_hold,5.91%,2108.582200000001,floating,,真实保存14:50窗口建议
40000,MA5卖出,2026-06-22,actual_saved_1450,688146.SH,中船特气,390.1,39010.0,买入,1,39010.0,2026-07-01,open_unmatured,-3.08%,-1199.7130000000018,floating,,真实保存14:50窗口建议
40000,MA5卖出,2026-06-23,actual_saved_1450,603929.SH,亚翔集成,210.57,21057.0,买入,1,21057.0,2026-07-01,closed,22.30%,4696.6259,realized,,真实保存14:50窗口建议
40000,MA5卖出,2026-06-24,actual_saved_1450,301319.SZ,唯特偶,200.2,20020.0,买入,1,20020.0,2026-07-01,closed,-14.03%,-2808.026,realized,,真实保存14:50窗口建议
40000,MA5卖出,2026-06-25,actual_saved_1450,300308.SZ,中际旭创,1332.75,133275.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,真实保存14:50窗口建议
40000,MA5卖出,2026-06-26,actual_saved_1450,603986.SH,兆易创新,770.0,77000.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,真实保存14:50窗口建议
40000,MA5卖出,2026-06-29,proxy_fill,688525.SH,佰维存储,507.0,50700.0,跳过,0,0.0,,skipped,0.00%,0.0,skip,one_lot_cost_gt_budget,缺真实14:50保存报告；用历史日线代理回测补齐
40000,MA5卖出,2026-06-30,actual_saved_1450,688002.SH,睿创微纳,154.67,15467.0,买入,2,30934.0,2026-07-01,open_unmatured,-3.80%,-1174.2141999999985,floating,,真实保存14:50窗口建议
