date,source_type,secucode,name,entry_price,fixed5_status,fixed5_date,fixed5_return,ma5_status,ma5_date,ma5_return,ma5_reason,source_dir,note,one_lot_cost,lots_3w,capital_3w,can_buy_3w,lots_4w,capital_4w,can_buy_4w,budget,mode,action,capital_used,return,pnl,pnl_type,return_status,exit_date,skip_reason
2026-06-24,actual_saved_1450,301319.SZ,唯特偶,200.2,closed,2026-07-01,-0.14026103896103895,closed,2026-07-01,-0.14026103896103895,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260624_145243,真实保存14:50窗口建议,20020.0,1,20020.0,yes,1,20020.0,yes,30000,fixed5,buy,20020.0,-0.14026103896103895,-2808.026,realized,closed,2026-07-01,
2026-06-25,actual_saved_1450,300308.SZ,中际旭创,1332.75,open_unmatured,2026-07-01,-0.08352097167510777,open_unmatured,2026-07-01,-0.08352097167510777,before_day5_check,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260625_145020,真实保存14:50窗口建议,133275.0,0,0.0,no,0,0.0,no,30000,fixed5,skip,0.0,0.0,0.0,skip,skipped,,one_lot_cost_gt_budget
2026-06-26,actual_saved_1450,603986.SH,兆易创新,770.0,open_unmatured,2026-07-01,0.0013103896103895075,open_unmatured,2026-07-01,0.0013103896103895075,before_day5_check,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260626_145153,真实保存14:50窗口建议,77000.0,0,0.0,no,0,0.0,no,30000,fixed5,skip,0.0,0.0,0.0,skip,skipped,,one_lot_cost_gt_budget
2026-06-29,proxy_fill,688525.SH,佰维存储,507.0,open_unmatured,2026-07-06,-0.037039644970414266,open_unmatured,2026-07-01,-0.08794694280078899,before_day5_check,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,50700.0,0,0.0,no,0,0.0,no,30000,fixed5,skip,0.0,0.0,0.0,skip,skipped,,one_lot_cost_gt_budget
2026-06-30,actual_saved_1450,688002.SH,睿创微纳,154.67,open_unmatured,2026-07-01,-0.037958692700588305,open_unmatured,2026-07-01,-0.037958692700588305,before_day5_check,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/20260630_145156,真实保存14:50窗口建议,15467.0,1,15467.0,yes,2,30934.0,yes,30000,fixed5,buy,15467.0,-0.037958692700588305,-587.1070999999993,floating,open_unmatured,2026-07-01,
2026-06-01,proxy_fill,688396.SH,华润微,65.549,closed,2026-06-08,-0.04737240385055456,closed,2026-06-08,-0.04737240385055456,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,6554.9,4,26219.6,yes,6,39329.4,yes,30000,ma5,buy,26219.6,-0.04737240385055456,-1242.0854800000002,realized,closed,2026-06-08,
2026-06-02,proxy_fill,688525.SH,佰维存储,303.186,closed,2026-06-09,0.004472034328761944,closed,2026-06-09,0.004472034328761944,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,30318.6,0,0.0,no,1,30318.6,yes,30000,ma5,skip,0.0,0.0,0.0,skip,skipped,,one_lot_cost_gt_budget
2026-06-03,proxy_fill,688525.SH,佰维存储,313.786,closed,2026-06-10,0.00826065598847622,closed,2026-06-25,0.5293610237550433,max_hold_sessions,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,31378.6,0,0.0,no,1,31378.6,yes,30000,ma5,skip,0.0,0.0,0.0,skip,skipped,,one_lot_cost_gt_budget
2026-06-04,proxy_fill,688347.SH,华虹宏力,244.0,closed,2026-06-11,-0.09412786885245908,closed,2026-06-11,-0.09412786885245908,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,24400.0,1,24400.0,yes,1,24400.0,yes,30000,ma5,buy,24400.0,-0.09412786885245908,-2296.7200000000016,realized,closed,2026-06-11,
2026-06-05,proxy_fill,688102.SH,斯瑞新材,37.59,closed,2026-06-12,0.10511127959563712,closed,2026-06-16,0.056162090981643896,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,3759.0,7,26313.0,yes,10,37590.0,yes,30000,ma5,buy,26313.0,0.056162090981643896,1477.7930999999958,realized,closed,2026-06-16,
