date,source_type,secucode,name,entry_price,fixed5_status,fixed5_date,fixed5_return,ma5_status,ma5_date,ma5_return,ma5_reason,source_dir,note,one_lot_cost,lots_3w,capital_3w,can_buy_3w,lots_4w,capital_4w,can_buy_4w,budget,rule,rule_label,action,capital_used,lots,exit_date,status,held_sessions,return,pnl,pnl_type,exit_reason
2026-06-01,proxy_fill,688396.SH,华润微,65.549,closed,2026-06-08,-0.04737240385055456,closed,2026-06-08,-0.04737240385055456,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,6554.9,4,26219.6,yes,6,39329.4,yes,30000,fixed5,固定5日卖,buy,26219.6,4,2026-06-08,closed,5,-0.04737240385055456,-1242.0854800000002,realized,fixed_day5
2026-06-01,proxy_fill,688396.SH,华润微,65.549,closed,2026-06-08,-0.04737240385055456,closed,2026-06-08,-0.04737240385055456,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,6554.9,4,26219.6,yes,6,39329.4,yes,40000,fixed5,固定5日卖,buy,39329.4,6,2026-06-08,closed,5,-0.04737240385055456,-1863.1282200000005,realized,fixed_day5
2026-06-01,proxy_fill,688396.SH,华润微,65.549,closed,2026-06-08,-0.04737240385055456,closed,2026-06-08,-0.04737240385055456,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,6554.9,4,26219.6,yes,6,39329.4,yes,30000,ma5_current,当前MA5,buy,26219.6,4,2026-06-08,closed,5,-0.04737240385055456,-1242.0854800000002,realized,day5_net_return_not_positive
2026-06-01,proxy_fill,688396.SH,华润微,65.549,closed,2026-06-08,-0.04737240385055456,closed,2026-06-08,-0.04737240385055456,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,6554.9,4,26219.6,yes,6,39329.4,yes,40000,ma5_current,当前MA5,buy,39329.4,6,2026-06-08,closed,5,-0.04737240385055456,-1863.1282200000005,realized,day5_net_return_not_positive
2026-06-01,proxy_fill,688396.SH,华润微,65.549,closed,2026-06-08,-0.04737240385055456,closed,2026-06-08,-0.04737240385055456,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,6554.9,4,26219.6,yes,6,39329.4,yes,30000,take8_extend3,第5日>=8%止盈；小盈利延长最多3天,buy,26219.6,4,2026-06-08,closed,5,-0.04737240385055456,-1242.0854800000002,realized,day5_net_return_not_positive
2026-06-01,proxy_fill,688396.SH,华润微,65.549,closed,2026-06-08,-0.04737240385055456,closed,2026-06-08,-0.04737240385055456,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,6554.9,4,26219.6,yes,6,39329.4,yes,40000,take8_extend3,第5日>=8%止盈；小盈利延长最多3天,buy,39329.4,6,2026-06-08,closed,5,-0.04737240385055456,-1863.1282200000005,realized,day5_net_return_not_positive
2026-06-01,proxy_fill,688396.SH,华润微,65.549,closed,2026-06-08,-0.04737240385055456,closed,2026-06-08,-0.04737240385055456,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,6554.9,4,26219.6,yes,6,39329.4,yes,30000,take10_extend3,第5日>=10%止盈；小盈利延长最多3天,buy,26219.6,4,2026-06-08,closed,5,-0.04737240385055456,-1242.0854800000002,realized,day5_net_return_not_positive
2026-06-01,proxy_fill,688396.SH,华润微,65.549,closed,2026-06-08,-0.04737240385055456,closed,2026-06-08,-0.04737240385055456,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,6554.9,4,26219.6,yes,6,39329.4,yes,40000,take10_extend3,第5日>=10%止盈；小盈利延长最多3天,buy,39329.4,6,2026-06-08,closed,5,-0.04737240385055456,-1863.1282200000005,realized,day5_net_return_not_positive
2026-06-01,proxy_fill,688396.SH,华润微,65.549,closed,2026-06-08,-0.04737240385055456,closed,2026-06-08,-0.04737240385055456,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,6554.9,4,26219.6,yes,6,39329.4,yes,30000,take8_extend2,第5日>=8%止盈；小盈利延长最多2天,buy,26219.6,4,2026-06-08,closed,5,-0.04737240385055456,-1242.0854800000002,realized,day5_net_return_not_positive
2026-06-01,proxy_fill,688396.SH,华润微,65.549,closed,2026-06-08,-0.04737240385055456,closed,2026-06-08,-0.04737240385055456,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,6554.9,4,26219.6,yes,6,39329.4,yes,40000,take8_extend2,第5日>=8%止盈；小盈利延长最多2天,buy,39329.4,6,2026-06-08,closed,5,-0.04737240385055456,-1863.1282200000005,realized,day5_net_return_not_positive
2026-06-01,proxy_fill,688396.SH,华润微,65.549,closed,2026-06-08,-0.04737240385055456,closed,2026-06-08,-0.04737240385055456,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,6554.9,4,26219.6,yes,6,39329.4,yes,30000,early3_take8_extend3,提前风控(-3%且破MA5)+8%止盈+延3天,buy,26219.6,4,2026-06-08,closed,5,-0.04737240385055456,-1242.0854800000002,realized,day5_net_return_not_positive
2026-06-01,proxy_fill,688396.SH,华润微,65.549,closed,2026-06-08,-0.04737240385055456,closed,2026-06-08,-0.04737240385055456,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,6554.9,4,26219.6,yes,6,39329.4,yes,40000,early3_take8_extend3,提前风控(-3%且破MA5)+8%止盈+延3天,buy,39329.4,6,2026-06-08,closed,5,-0.04737240385055456,-1863.1282200000005,realized,day5_net_return_not_positive
2026-06-01,proxy_fill,688396.SH,华润微,65.549,closed,2026-06-08,-0.04737240385055456,closed,2026-06-08,-0.04737240385055456,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,6554.9,4,26219.6,yes,6,39329.4,yes,30000,early5_take8_extend3,提前风控(-5%)+8%止盈+延3天,buy,26219.6,4,2026-06-08,closed,5,-0.04737240385055456,-1242.0854800000002,realized,day5_net_return_not_positive
2026-06-01,proxy_fill,688396.SH,华润微,65.549,closed,2026-06-08,-0.04737240385055456,closed,2026-06-08,-0.04737240385055456,day5_net_return_not_positive,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,6554.9,4,26219.6,yes,6,39329.4,yes,40000,early5_take8_extend3,提前风控(-5%)+8%止盈+延3天,buy,39329.4,6,2026-06-08,closed,5,-0.04737240385055456,-1863.1282200000005,realized,day5_net_return_not_positive
2026-06-02,proxy_fill,688525.SH,佰维存储,303.186,closed,2026-06-09,0.004472034328761944,closed,2026-06-09,0.004472034328761944,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,30318.6,0,0.0,no,1,30318.6,yes,30000,fixed5,固定5日卖,skip,0.0,0,,skipped,,0.0,0.0,skip,one_lot_cost_gt_budget
2026-06-02,proxy_fill,688525.SH,佰维存储,303.186,closed,2026-06-09,0.004472034328761944,closed,2026-06-09,0.004472034328761944,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,30318.6,0,0.0,no,1,30318.6,yes,40000,fixed5,固定5日卖,buy,30318.6,1,2026-06-09,closed,5,0.004472034328761944,135.58582000000186,realized,fixed_day5
2026-06-02,proxy_fill,688525.SH,佰维存储,303.186,closed,2026-06-09,0.004472034328761944,closed,2026-06-09,0.004472034328761944,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,30318.6,0,0.0,no,1,30318.6,yes,30000,ma5_current,当前MA5,skip,0.0,0,,skipped,,0.0,0.0,skip,one_lot_cost_gt_budget
2026-06-02,proxy_fill,688525.SH,佰维存储,303.186,closed,2026-06-09,0.004472034328761944,closed,2026-06-09,0.004472034328761944,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,30318.6,0,0.0,no,1,30318.6,yes,40000,ma5_current,当前MA5,buy,30318.6,1,2026-06-09,closed,5,0.004472034328761944,135.58582000000186,realized,close_below_ma5
2026-06-02,proxy_fill,688525.SH,佰维存储,303.186,closed,2026-06-09,0.004472034328761944,closed,2026-06-09,0.004472034328761944,close_below_ma5,/Users/weifeng/works/finance_lab/reports/automation_5_14_50/full_proxy_rank1_ma5_recent_month_20260701_175222,缺真实14:50保存报告；用历史日线代理回测补齐,30318.6,0,0.0,no,1,30318.6,yes,30000,take8_extend3,第5日>=8%止盈；小盈利延长最多3天,skip,0.0,0,,skipped,,0.0,0.0,skip,one_lot_cost_gt_budget
