secucode,name,industry,quote_time,latest_date,price,pct,amount,turnover,volume_ratio,main_net,industry_avg_pct,industry_adv_ratio,industry_amount,close_pos,upper_shadow,samples,win_rate,avg_return,median_return,profit_factor,max_drawdown,worst_return,worst_sample_date,worst_hold_drawdown,stop_loss,stop_risk,target_low,target_high,reward_risk,buy_low,buy_high,formal,reject_reason,score,rechecked,recheck_price,recheck_time,recheck_reject_reason,risk_tier,action_tier,attack_mode_score,attack_mode_preferred,attack_mode_reason
301626.SZ,苏州天脉,消费电子,,2026-07-06,328.49,0.0233,552170245.07,3.25,0.61,45423615.0,-0.024791011235955056,0.24719101123595505,92830893530.03,0.749615384615385,0.25038461538461504,120,0.6,0.03589455065112077,0.01787663720596463,3.0593356122385593,-0.17409354892476858,-0.12649210308547112,2026-03-16,-0.14359459352957404,308.9751394893175,0.05940777652495513,334.36229655578734,352.08276600500835,1.208964111841516,327.50453,329.47547,False,,46.482330375479165,False,0.0,,,进取,进取研究,16.859729660415844,False,attack_checks_failed
002192.SZ,融捷股份,能源金属,,2026-07-06,94.4,0.030699999999999998,2896483178.1,11.78,0.93,220328704.0,0.0058818181818181825,0.5454545454545454,23017198027.56,0.6168224299065427,0.3831775700934573,120,0.625,0.0327959267233852,0.022540170231418046,2.48722922151,-0.43598106157736005,-0.14908745942251836,2026-01-29,-0.17226575077814743,88.26400000000001,0.065,96.52779206984587,100.70736775595485,1.0279282522742592,94.11680000000001,94.6832,False,,43.20204115057766,False,0.0,,,进取,进取研究,5.508219068312296,False,attack_checks_failed
601126.SH,四方股份,电网设备,,2026-07-06,60.96,0.051,1761887700.0,3.5,0.77,153691716.0,-0.0235,0.15625,49518149708.58,0.5659898477157363,0.43401015228426365,120,0.6333333333333333,0.03435256726926466,0.02895226635841738,2.3224025099886862,-0.3454091080298548,-0.1994316229782487,2026-06-25,-0.22246497879449945,57.17934679370704,0.062018589342076214,62.72493015720913,65.95444144099379,1.3210525188294064,60.777120000000004,61.14287999999999,False,,40.699869232100056,False,0.0,,,进取,进取研究,3.4143636702254043,False,attack_checks_failed
301629.SZ,矽电股份,半导体,,2026-07-06,356.88,-0.0106,615831815.38,9.12,0.7,-34230691.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.7369822485207101,0.2630177514792899,120,0.575,0.030656738973254036,0.02385558966458531,2.1444190330030923,-0.32553487616799903,-0.21513951682484903,2026-03-19,-0.2309684101501812,333.68280000000004,0.065,365.3935828394972,384.60278187001165,1.1950917296058021,355.80935999999997,357.95063999999996,False,,37.35752817846912,False,0.0,,,进取,进取研究,0.0592639366240264,False,attack_checks_failed
002353.SZ,杰瑞股份,专用设备,,2026-07-06,171.11,0.059800000000000006,4072701120.73,3.43,1.23,180319776.0,-0.021527374301675978,0.17318435754189945,60843778299.05,0.6274643099932028,0.3725356900067972,120,0.5583333333333333,0.019380238127775617,0.010838256043907282,1.8768703936132838,-0.32637931516823127,-0.16166943744752307,2026-03-10,-0.1784214945424013,161.59350603093932,0.05561623498954297,172.964533991673,181.5921854755513,1.1014755549291777,170.59667000000002,171.62332999999998,False,,35.61723574572579,False,0.0,,,进取,进取研究,2.790963319040981,False,attack_checks_failed
688392.SH,骄成超声,电池,,2026-07-06,213.15,0.0297,1030142545.0,4.21,0.74,-54089733.0,-0.02283723404255319,0.19148936170212766,91437451195.01,0.6393442622950822,0.3606557377049177,120,0.5916666666666667,0.031162303185434614,0.022022008434315645,2.3486168191025025,-0.4144223672245966,-0.16084212126632083,2026-03-16,-0.1645805960860245,199.29525,0.065,217.8439910977744,228.10726559022436,1.079576722079025,212.51055,213.78945,False,,35.34943339120295,False,0.0,,,进取,进取研究,4.675960584513874,False,attack_checks_failed
603285.SH,键邦股份,化学制品,,2026-07-06,48.8,0.049,333542026.0,11.2,0.71,13131810.0,-0.01195654761904762,0.3333333333333333,75957998903.55,0.8781869688385268,0.12181303116147321,120,0.575,0.02235294334381274,0.01582263948036319,1.9145651872625007,-0.35084668192152846,-0.20006126126126125,2026-03-16,-0.22193308550185875,45.628,0.065,49.57214480664172,52.070024696223314,1.0309031198686387,48.6536,48.94639999999999,False,,34.4342240070182,False,0.0,,,进取,进取研究,-1.025985147043416,False,attack_checks_failed
300943.SZ,春晖智控,通用设备,,2026-07-06,50.42,0.08900000000000001,846151258.6,12.67,0.96,-23767941.0,-0.022262272727272728,0.23636363636363636,116487098257.19,0.6503340757238308,0.34966592427616916,120,0.5916666666666667,0.028427841022422237,0.03081354313806103,1.9267223192609817,-0.33618489945916774,-0.2091162133614998,2026-03-12,-0.24293636123580664,47.142700000000005,0.065,51.973618845021036,54.0868436103896,1.1188611388611367,50.26874,50.571259999999995,False,,34.39362676550189,False,0.0,,,进取,进取研究,-1.5854927132571697,False,attack_checks_failed
688536.SH,思瑞浦,半导体,,2026-07-06,339.9,0.023399999999999997,1464233655.0,3.23,0.76,410009.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.7784648963259356,0.22153510367406437,120,0.55,0.023228083666304848,0.02208649940350779,1.8934786679574402,-0.44465940980347685,-0.14707964764659479,2026-03-27,-0.1668131002514618,319.8936793992084,0.05885943101144922,347.40720114725224,367.1421205892897,1.3616756990394232,338.8803,340.9196999999999,False,,32.86732088298431,False,0.0,,,进取,进取研究,5.260254268623985,False,attack_checks_failed
600406.SH,国电南瑞,电网设备,,2026-07-06,23.16,0.0118,1400463148.0,0.76,0.83,66335936.0,-0.0235,0.15625,49518149708.58,0.7358490566037731,0.2641509433962269,120,0.5916666666666667,0.005351458014024504,0.006850388936905673,1.3920129784955548,-0.23117974561263777,-0.0966535353535353,2026-06-01,-0.10343434343434343,22.581,0.025,23.318655007778734,23.742590412698412,1.0062010582010603,23.09052,23.22948,False,,28.620324008984205,False,0.0,,,进取,进取研究,10.54865110286566,False,attack_checks_failed
