secucode,name,tradable,status,reject_reason,rank_score,latest_date,latest_close,benchmark_code,ma60,ma120,ma200,distance_ma200,stock_return_120d,benchmark_return_120d,excess_return_120d,stock_return_240d,benchmark_return_240d,excess_return_240d,drawdown_120d,volatility_120d,buy_zone_low,buy_zone_high,initial_stop_loss,trend_stop_price,relative_exit_excess,position_hint,tags
300145.SZ,南方泵业,False,ok,volatility_120d 62.48% > 42.00%,84.247953,2026-07-06,6.03,000300.SH,5.048166666666666,4.856916666666667,4.70655,0.28119323071039304,0.291220556745182,0.0458018894413319,0.2454186673038501,0.7228571428571429,0.2109692505846017,0.5118878922725412,-0.0321027287319422,0.6247856815254581,5.8491,6.2109000000000005,5.3064,4.5653535,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
603375.SH,盛景微,False,ok,volatility_120d 48.53% > 42.00%,84.227902,2026-07-06,50.91,000300.SH,46.6545,42.339666666666666,41.4216,0.2290688915927921,0.39479452054794506,0.0458018894413319,0.34899263110661316,0.3737182946573123,0.2109692505846017,0.16274904407271062,-0.07436363636363641,0.48532782390341306,49.38269999999999,52.4373,44.800799999999995,40.178951999999995,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
688168.SH,安博通,False,ok,ma120_not_above_ma200; volatility_120d 60.15% > 42.00%,84.199808,2026-07-06,75.48,000300.SH,61.18813333333333,56.788041666666665,57.979369999999996,0.3018423622057296,0.40595313489550366,0.0458018894413319,0.36015124545417176,0.4806096628023304,0.2109692505846017,0.2696404122177287,-0.016931492576191642,0.6015110503565954,73.2156,77.74440000000001,66.42240000000001,56.23998889999999,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
688209.SH,英集芯,False,ok,volatility_120d 54.64% > 42.00%,84.053528,2026-07-06,26.93,000300.SH,24.072333333333333,23.251416666666668,22.43075,0.20058401970509232,0.3505516549648946,0.0458018894413319,0.3047497655235627,0.5154755205402364,0.2109692505846017,0.3045062699556347,-0.10203401133711232,0.5463931783824832,26.1221,27.7379,23.6984,21.757827499999998,-0.06,0.0,"long_term_hold,strong_relative"
301305.SZ,朗坤科技,False,ok,volatility_120d 50.16% > 42.00%,83.848111,2026-07-06,28.48,000300.SH,27.9115,26.71475,24.59565,0.1579283328556067,0.2788504714863045,0.0458018894413319,0.23304858204497259,0.592841163310962,0.2109692505846017,0.38187191272636034,-0.14191021391985525,0.5016206183105891,27.6256,29.334400000000002,25.0624,23.857780499999997,-0.06,0.0,"long_term_hold,strong_relative"
603638.SH,艾迪精密,False,ok,volatility_120d 46.27% > 42.00%,83.846841,2026-07-06,25.11,000300.SH,23.378666666666668,22.45041666666667,20.89785,0.20155901205147897,0.3335103558151886,0.0458018894413319,0.2877084663738567,0.4539664157498553,0.2109692505846017,0.2429971651652536,-0.10704125177809398,0.4627418132058997,24.3567,25.8633,22.096799999999998,20.270914499999996,-0.06,0.0,"long_term_hold,strong_relative"
600428.SH,中远海特,False,ok,volatility_120d 42.32% > 42.00%,83.752228,2026-07-06,8.64,000300.SH,8.306333333333333,8.169583333333334,7.7194,0.11925797341762312,0.21690140845070438,0.0458018894413319,0.17109951900937248,0.4023697451712387,0.2109692505846017,0.191400494586637,-0.14200595829195628,0.42324736607024976,8.3808,8.8992,7.6032,7.487818,-0.06,0.0,"long_term_hold,strong_relative"
688206.SH,概伦电子,False,ok,ma120_not_above_ma200; volatility_120d 66.28% > 42.00%,83.603081,2026-07-06,48.76,000300.SH,37.5345,36.72633333333333,36.85645,0.3229706062303883,0.39994257823715196,0.0458018894413319,0.35414068879582006,0.7482968806023664,0.2109692505846017,0.5373276300177647,-0.01673724541238164,0.6628295014429021,47.2972,50.2228,42.9088,35.7507565,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
301555.SZ,惠柏新材,False,ok,volatility_120d 49.66% > 42.00%,83.51999,2026-07-06,43.1,000300.SH,39.88983333333333,38.095749999999995,35.41895,0.2168627246149306,0.29780186690755794,0.0458018894413319,0.25199997746622604,0.45706558485463167,0.2109692505846017,0.24609633427002997,-0.10395010395010396,0.49657332958095834,41.807,44.393,37.928000000000004,34.356381500000005,-0.06,0.0,"long_term_hold,strong_relative"
688262.SH,国芯科技,False,ok,volatility_120d 66.01% > 42.00%,83.519771,2026-07-06,39.83,000300.SH,37.98516666666667,36.9895,34.1087,0.16773726351341445,0.3123558484349258,0.0458018894413319,0.2665539589935939,0.5190694126620901,0.2109692505846017,0.30810016207748836,-0.1432566143256615,0.6601229372589057,38.635099999999994,41.0249,35.050399999999996,33.085439,-0.06,0.0,"long_term_hold,strong_relative"
301029.SZ,怡合达,False,ok,volatility_120d 48.08% > 42.00%,83.49188,2026-07-06,30.7,000300.SH,28.662933333333335,27.637966666666667,27.440929999999998,0.11876674733691606,0.17968029511220407,0.0458018894413319,0.13387840567087217,0.4054202527009705,0.2109692505846017,0.1944510021163688,-0.09679317446307745,0.4807547258862905,29.779,31.621,27.016,26.6177021,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
688202.SH,美迪西,False,ok,volatility_120d 56.94% > 42.00%,83.302832,2026-07-06,77.8,000300.SH,64.59949999999999,64.49849999999999,64.0895,0.2139273984037946,0.3794326241134751,0.0458018894413319,0.3336307346721432,0.7174392935982341,0.2109692505846017,0.5064700430136324,-0.11237877923559625,0.5693945565684126,75.466,80.134,68.464,62.166815,-0.06,0.0,"long_term_hold,strong_relative"
600601.SH,方正科技,False,ok,volatility_120d 56.69% > 42.00%,83.280696,2026-07-06,14.99,000300.SH,12.544833333333333,11.85975,11.650799999999998,0.2866069282796033,0.2790102389078497,0.0458018894413319,0.2332083494665178,1.593425605536332,0.2109692505846017,1.3824563549517304,-0.054854981084489274,0.5668560020253783,14.5403,15.4397,13.1912,11.301275999999998,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
300018.SZ,中元股份,False,ok,volatility_120d 65.08% > 42.00%,83.274472,2026-07-06,13.9,000300.SH,13.469333333333333,13.05375,11.8402,0.17396665596864924,0.27522935779816504,0.0458018894413319,0.22942746835683314,0.7820512820512822,0.2280737351499964,0.5539775469012858,-0.14514145141451418,0.6507759170853135,13.483,14.317,12.232000000000001,11.484993999999999,-0.06,0.0,"long_term_hold,strong_relative"
600400.SH,红豆股份,False,ok,ma120_not_above_ma200; volatility_120d 47.90% > 42.00%,83.23626,2026-07-06,3.26,000300.SH,2.7368333333333337,2.522583333333333,2.5984,0.2546182266009853,0.3697478991596639,0.0458018894413319,0.323946009718332,0.45535714285714257,0.2109692505846017,0.24438789227254087,-0.08169014084507042,0.47897561106247294,3.1622,3.3577999999999997,2.8688,2.5204479999999996,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
600546.SH,山煤国际,False,ok,volatility_120d 43.43% > 42.00%,83.223504,2026-07-06,12.8,000300.SH,12.911,12.09525,11.47305,0.11565799852698277,0.26858275520317165,0.0458018894413319,0.22278086576183975,0.4463276836158194,0.2109692505846017,0.23535843303121773,-0.18626827717736805,0.43434900085686295,12.416,13.184000000000001,11.264000000000001,11.1288585,-0.06,0.0,"long_term_hold,strong_relative"
603713.SH,密尔克卫,False,ok,ma60_not_above_ma120; volatility_120d 50.32% > 42.00%,83.182134,2026-07-06,78.35,000300.SH,59.02033333333333,60.180166666666665,59.4583,0.31773024119424864,0.43052766112835483,0.0458018894413319,0.38472577168702293,0.5296759078484965,0.2109692505846017,0.3187066572638948,-0.032716049382716106,0.5031606997486733,75.9995,80.70049999999999,68.948,57.674551,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
